CD,human_gene_name,mouse_gene_name
CD1,CD1A,-
CD1,CD1B,-
CD1,CD1C,-
CD1,CD1D,Cd1d1
CD1,CD1E,-
CD2,CD2,Cd2
CD3,CD3D,Cd3d
CD3,CD3E,Cd3e
CD3,CD3G,Cd3g
CD4,CD4,Cd4
CD5,CD5,Cd5
CD6,CD6,Cd6
CD7,CD7,Cd7
CD8,CD8A,Cd8a
CD8,CD8B,Cd8b1
CD9,CD9,Cd9
CD10,MME,Mme
CD11,ITGAL,Itgal
CD11,ITGAM,Itgam
CD11,ITGAX,Itgax
CD11,ITGAD,Itgad
CD13,ANPEP,Anpep
CD14,CD14,Cd14
CD15,FUT4,Fut4
CD16,FCGR3A,Fcgr4
CD16,FCGR3B,Fcgr4
CD18,ITGB2,Itgb2
CD19,CD19,Cd19
CD20,MS4A1,Ms4a1
CD21,CR2,Cr2
CD22,CD22,Cd22
CD23,FCER2,Fcer2a
CD24,CD24,-
CD25,IL2RA,Il2ra
CD26,DPP4,Dpp4
CD27,CD27,Cd27
CD28,CD28,Cd28
CD29,ITGB1,Itgb1
CD30,TNFRSF8,Tnfrsf8
CD31,PECAM1,Pecam1
CD33,CD33,-
CD34,CD34,Cd34
CD35,CR1,-
CD36,CD36,Cd36
CD37,CD37,Cd37
CD38,CD38,Cd38
CD39,ENTPD1,Entpd1
CD40,CD40,Cd40
CD41,ITGA2B,Itga2b
CD42,GP9,Gp9
CD42,GP1BA,Gp1ba
CD42,GP1BB,Gp1bb
CD42,GP5,Gp5
CD43,SPN,Spn
CD44,CD44,Cd44
CD45,PTPRC,Ptprc
CD46,CD46,Cd46
CD47,CD47,Cd47
CD48,CD48,Cd48
CD49,ITGA1,Itga1
CD49,ITGA2,Itga2
CD49,ITGA3,Itga3
CD49,ITGA4,Itga4
CD49,ITGA5,Itga5
CD49,ITGA6,Itga6
CD50,ICAM3,-
CD51,ITGAV,Itgav
CD52,CD52,-
CD53,CD53,Cd53
CD54,ICAM1,Icam1
CD55,CD55,Cd55
CD55,CD55,Daf2
CD56,NCAM1,Ncam1
CD57,B3GAT1,B3gat1
CD58,CD58,-
CD59,CD59,Cd59b
CD61,ITGB3,Itgb3
CD62,SELE,Sele
CD62,SELL,Sell
CD62,SELP,Selp
CD63,CD63,Cd63
CD64,FCGR1A,Fcgr1
CD66,CEACAM1,Ceacam1
CD66,CEACAM1,Ceacam2
CD66,CEACAM8,-
CD66,CEACAM6,-
CD66,CEACAM3,-
CD66,CEACAM5,-
CD66,PSG1,-
CD68,CD68,Cd68
CD69,CD69,Cd69
CD70,CD70,Cd70
CD71,TFRC,Tfrc
CD72,CD72,Cd72
CD73,NT5E,Nt5e
CD74,CD74,Cd74
CD79,CD79A,Cd79a
CD79,CD79B,Cd79b
CD80,CD80,Cd80
CD81,CD81,Cd81
CD82,CD82,Cd82
CD83,CD83,Cd83
CD84,CD84,Cd84
CD85,LILRB3,Pirb
CD85,LILRB3,Gm14548
CD85,LILRB3,Pira2
CD85,LILRB3,Pira1
CD85,LILRB3,Gm15448
CD85,LILRB3,Lilra6
CD85,LILRB3,Pira6
CD85,LILRA6,-
CD85,LILRB5,-
CD85,LILRB2,-
CD85,LILRA5,Lilra5
CD85,LILRA4,-
CD85,LILRA2,-
CD85,LILRA1,-
CD85,LILRB1,-
CD85,LILRB4,Lilrb4
CD85,LILRB4,Gp49a
CD85,LILRP2,-
CD86,CD86,Cd86
CD87,PLAUR,Plaur
CD88,C5AR1,C5ar1
CD89,FCAR,-
CD90,THY1,Thy1
CD91,LRP1,Lrp1
CD92,SLC44A1,Slc44a1
CD93,CD93,Cd93
CD94,KLRD1,Klrd1
CD95,FAS,Fas
CD96,CD96,Cd96
CD97,ADGRE5,-
CD98,SLC3A2,Slc3a2
CD99,CD99,-
CD100,SEMA4D,Sema4d
CD101,CD101,Cd101
CD102,ICAM2,Icam2
CD103,ITGAE,Itgae
CD104,ITGB4,Itgb4
CD105,ENG,Eng
CD106,VCAM1,Vcam1
CD107,LAMP1,Lamp1
CD107,LAMP2,Lamp2
CD108,SEMA7A,Sema7a
CD109,CD109,Cd109
CD110,MPL,Mpl
CD111,NECTIN1,-
CD112,NECTIN2,-
CD113,NECTIN3,-
CD114,CSF3R,Csf3r
CD115,CSF1R,Csf1r
CD116,CSF2RA,Csf2ra
CD117,KIT,Kit
CD118,LIFR,Lifr
CD119,IFNGR1,Ifngr1
CD120,TNFRSF1A,Tnfrsf1a
CD120,TNFRSF1B,Tnfrsf1b
CD121,IL1R1,Il1r1
CD121,IL1R2,Il1r2
CD122,IL2RB,Il2rb
CD123,IL3RA,Il3ra
CD124,IL4R,Il4ra
CD125,IL5RA,Il5ra
CD126,IL6R,Il6ra
CD127,IL7R,Il7r
CD129,IL9R,Il9r
CD130,IL6ST,Il6st
CD131,CSF2RB,Csf2rb
CD131,CSF2RB,Csf2rb2
CD132,IL2RG,Il2rg
CD133,PROM1,Prom1
CD134,TNFRSF4,Tnfrsf4
CD135,FLT3,Flt3
CD136,MST1R,Mst1r
CD137,TNFRSF9,Tnfrsf9
CD138,SDC1,Sdc1
CD140,PDGFRA,Pdgfra
CD140,PDGFRB,Pdgfrb
CD141,THBD,Thbd
CD142,F3,F3
CD143,ACE,Ace
CD144,CDH5,Cdh5
CD146,MCAM,Mcam
CD147,BSG,Bsg
CD148,PTPRJ,Ptprj
CD150,SLAMF1,Slamf1
CD151,CD151,Cd151
CD152,CTLA4,Ctla4
CD153,TNFSF8,Tnfsf8
CD154,CD40LG,Cd40lg
CD155,PVR,-
CD156,ADAM8,Adam8
CD156,ADAM17,Adam17
CD156,ADAM10,Adam10
CD157,BST1,Bst1
CD158,KIR2DL1,-
CD158,KIR2DL2,-
CD158,KIR2DL3,-
CD158,KIR3DP1,-
CD158,KIR2DL4,-
CD158,KIR3DL1,-
CD158,KIR3DS1,-
CD158,KIR2DL5A,-
CD158,KIR2DS5,-
CD158,KIR2DS1,-
CD158,KIR2DS4,-
CD158,KIR2DS2,-
CD158,KIR3DL2,-
CD159,KLRC1,Klrc1
CD159,KLRC2,-
CD160,CD160,Cd160
CD161,KLRB1,Klrb1b
CD161,KLRB1,Klrb1c
CD161,KLRB1,Klrb1a
CD162,SELPLG,Selplg
CD163,CD163,Cd163
CD164,CD164,Cd164
CD165,CD165,-
CD166,ALCAM,Alcam
CD167,DDR1,Ddr1
CD167,DDR2,Ddr2
CD168,HMMR,Hmmr
CD169,SIGLEC1,Siglec1
CD170,SIGLEC5,-
CD171,L1CAM,L1cam
CD172,SIRPA,Sirpa
CD172,SIRPB1,Sirpb1a
CD172,SIRPB1,LOC100038947
CD172,SIRPB1,Sirpb1b
