CD_NAME,NCBI_NAME,GeneID,Synonyms,map_location,description,Other_designations
CD1a,CD1A,909,CD1 FCB6 HTA1 R4 T6,1q23.1,CD1a molecule,"T-cell surface glycoprotein CD1a; CD1A antigen, a polypeptide; T-cell surface antigen T6/Leu-6; cluster of differentiation 1 A; cortical thymocyte antigen CD1A; differentiation antigen CD1-alpha-3; epidermal dendritic cell marker CD1a; hTa1 thymocyte antigen"
CD1b,CD1B,910,CD1 CD1A R1,1q23.1,CD1b molecule,"T-cell surface glycoprotein CD1b; CD1B antigen, b polypeptide; cortical thymocyte antigen CD1B; differentiation antigen CD1-alpha-3"
CD1c,CD1C,911,BDCA1 CD1 CD1A R7,1q23.1,CD1c molecule,"T-cell surface glycoprotein CD1c; CD1C antigen, c polypeptide; cortical thymocyte antigen CD1C; differentiation antigen CD1-alpha-3"
CD1d,CD1D,912,CD1A R3 R3G1,1q23.1,CD1d molecule,"antigen-presenting glycoprotein CD1d; CD1D antigen, d polypeptide; HMC class I antigen-like glycoprotein CD1D; T-cell surface glycoprotein CD1d; differentiation antigen CD1-alpha-3; thymocyte antigen CD1D"
CD1e,CD1E,913,CD1A R2,1q23.1,CD1e molecule,"T-cell surface glycoprotein CD1e, membrane-associated; CD1E antigen, e polypeptide; R2G1; differentiation antigen CD1-alpha-3; hCD1e; leukocyte differentiation antigen; thymocyte antigen CD1E"
CD2,CD2,914,LFA-2 SRBC T11,1p13.1,CD2 molecule,"T-cell surface antigen CD2; CD2 antigen (p50), sheep red blood cell receptor; LFA-3 receptor; T-cell surface antigen T11/Leu-5; erythrocyte receptor; lymphocyte-function antigen-2; rosette receptor"
CD3d,CD3D,915,CD3-DELTA IMD19 T3D,11q23.3,CD3d molecule,"T-cell surface glycoprotein CD3 delta chain; CD3 antigen, delta subunit; CD3 delta; CD3d antigen, delta polypeptide (TiT3 complex); CD3d molecule, delta (CD3-TCR complex); OKT3, delta chain; T-cell receptor T3 delta chain"
CD3e,CD3E,916,IMD18 T3E TCRE,11q23.3,CD3e molecule,"T-cell surface glycoprotein CD3 epsilon chain; CD3-epsilon; CD3e antigen, epsilon polypeptide (TiT3 complex); CD3e molecule, epsilon (CD3-TCR complex); T-cell antigen receptor complex, epsilon subunit of T3; T-cell surface antigen T3/Leu-4 epsilon chain"
CD3g,CD3G,917,CD3-GAMMA IMD17 T3G,11q23.3,CD3g molecule,"T-cell surface glycoprotein CD3 gamma chain; CD3g antigen, gamma polypeptide (TiT3 complex); CD3g molecule, epsilon (CD3-TCR complex); CD3g molecule, gamma (CD3-TCR complex); T-cell antigen receptor complex, gamma subunit of T3; T-cell receptor T3 gamma chain"
CD4,CD4,920,CD4mut,12p13.31,CD4 molecule,T-cell surface glycoprotein CD4; CD4 antigen (p55); CD4 receptor; T-cell surface antigen T4/Leu-3
CD5,CD5,921,LEU1 T1,11q12.2,CD5 molecule,T-cell surface glycoprotein CD5; CD5 antigen (p56-62); lymphocyte antigen T1/Leu-1
CD6,CD6,923,TP120,11q12.2,CD6 molecule,T-cell differentiation antigen CD6; CD6 antigen; T12
CD7,CD7,924,GP40 LEU-9 TP41 Tp40,17q25.3,CD7 molecule,T-cell antigen CD7; CD7 antigen (p41); T-cell leukemia antigen; T-cell surface antigen Leu-9; p41 protein
CD8a,CD8A,925,CD8 Leu2 MAL p32,2p11.2,CD8a molecule,"T-cell surface glycoprotein CD8 alpha chain; CD8 antigen, alpha polypeptide (p32); Leu2 T-lymphocyte antigen; OKT8 T-cell antigen; T cell co-receptor; T-cell antigen Leu2; T-lymphocyte differentiation antigen T8/Leu-2; T8 T-cell antigen"
CD8b,CD8B,926,CD8B1 LEU2 LY3 LYT3 P37,2p11.2,CD8b molecule,"T-cell surface glycoprotein CD8 beta chain; CD8 antigen, beta polypeptide 1 (p37); T lymphocyte surface glycoprotein beta chain"
CD9,CD9,928,BTCC-1 DRAP-27 MIC3 MRP-1 TSPAN-29 TSPAN29,12p13.31,CD9 molecule,CD9 antigen; 5H9 antigen; BA-2/p24 antigen; CD9 antigen (p24); antigen CD9; cell growth-inhibiting gene 2 protein; leukocyte antigen MIC3; motility related protein-1; tetraspanin-29
CD10,MME,4311,CALLA CD10 CMT2T NEP SCA43 SFE,3q25.2,membrane metalloendopeptidase,"neprilysin; atriopeptidase; common acute lymphocytic leukemia antigen; membrane metallo-endopeptidase (neutral endopeptidase, enkephalinase, CALLA, CD10); membrane metallo-endopeptidase variant 1; membrane metallo-endopeptidase variant 2; neprilysin-390; neprilysin-411; neutral endopeptidase 24.11; skin fibroblast elastase"
CD11a,ITGAL,3683,CD11A LFA-1 LFA1A,16p11.2,integrin subunit alpha L,"integrin alpha-L; CD11 antigen-like family member A; LFA-1 alpha; LFA-1A; antigen CD11A (p180), lymphocyte function-associated antigen 1, alpha polypeptide; integrin gene promoter; integrin, alpha L (antigen CD11A (p180), lymphocyte function-associated antigen 1; alpha polypeptide); leukocyte adhesion glycoprotein LFA-1 alpha chain; leukocyte function-associated molecule 1 alpha chain; lymphocyte function-associated antigen 1, alpha polypeptide"
CD11b,ITGAM,3684,CD11B CR3A MAC-1 MAC1A MO1A SLEB6,16p11.2,integrin subunit alpha M,"integrin alpha-M; CD11 antigen-like family member B; CR-3 alpha chain; antigen CD11b (p170); cell surface glycoprotein MAC-1 subunit alpha; complement component 3 receptor 3 subunit; integrin, alpha M (complement component 3 receptor 3 subunit); leukocyte adhesion receptor MO1; macrophage antigen alpha polypeptide; neutrophil adherence receptor alpha-M subunit"
CD11c,ITGAX,3687,CD11C SLEB6,16p11.2,integrin subunit alpha X,"integrin alpha-X; CD11 antigen-like family member C; complement component 3 receptor 4 subunit; integrin alpha X; integrin, alpha X (antigen CD11C (p150), alpha polypeptide); integrin, alpha X (complement component 3 receptor 4 subunit); leu M5, alpha subunit; leukocyte adhesion glycoprotein p150,95 alpha chain; leukocyte adhesion receptor p150,95; leukocyte surface antigen p150,95, alpha subunit; myeloid membrane antigen, alpha subunit; p150 95 integrin alpha chain"
CD11d,ITGAD,3681,ADB2 CD11D,16p11.2,integrin subunit alpha D,integrin alpha-D; CD11 antigen-like family member D; beta-2 integrin alphaD subunit; leukointegrin alpha D
CD13,ANPEP,290,APN CD13 GP150 LAP1 P150 PEPN,15q26.1,"alanyl aminopeptidase, membrane",aminopeptidase N; AP-M; AP-N; alanyl (membrane) aminopeptidase; aminopeptidase M; hAPN; membrane alanyl aminopeptidase; microsomal aminopeptidase; myeloid plasma membrane glycoprotein CD13
CD14,CD14,929,"-",5q31.3,CD14 molecule,monocyte differentiation antigen CD14; myeloid cell-specific leucine-rich glycoprotein
CD15,FUT4,2526,CD15 ELFT FCT3A FUC-TIV FUTIV LeX SSEA-1,11q21,fucosyltransferase 4,"alpha-(1,3)-fucosyltransferase 4; ELAM ligand fucosyltransferase; ELAM-1 ligand fucosyltransferase; Lewis X; alpha (1,3) fucosyltransferase, myeloid-specific; fucT-IV; fucosyltransferase IV; galactoside 3-L-fucosyltransferase; stage-specific embryonic antigen 1"
CD16a,FCGR3A,2214,CD16 CD16A FCG3 FCGR3 FCGRIII FCR-10 FCRIII FCRIIIA IGFR3 IMD20,1q23.3,Fc fragment of IgG receptor IIIa,"low affinity immunoglobulin gamma Fc region receptor III-A; CD16a antigen; Fc fragment of IgG low affinity IIIa receptor; Fc fragment of IgG, low affinity III, receptor for (CD16); Fc fragment of IgG, low affinity IIIa, receptor (CD16a); Fc gamma receptor III-A; Fc gamma receptor IIIa; Fc-gamma RIII-alpha; Fc-gamma RIIIa; Fc-gamma receptor III-2 (CD 16); Fc-gamma receptor IIIb (CD16); FcgammaRIIIA; fc-gamma RIII; igG Fc receptor III-2; immunoglobulin G Fc receptor III; neutrophil-specific antigen NA"
CD16b,FCGR3B,2215,CD16 CD16b FCG3 FCGR3 FCR-10 FCRIII FCRIIIb,1q23.3,Fc fragment of IgG receptor IIIb,"low affinity immunoglobulin gamma Fc region receptor III-B; Fc fragment of IgG, low affinity IIIb, receptor (CD16b); Fc gamma receptor IIIb; Fc-gamma receptor IIIb (CD 16); fc-gamma RIII-beta; fc-gamma RIIIb; igG Fc receptor III-1"
CD17,"-",-,-,-,-,-
CD18,ITGB2,3689,CD18 LAD LCAMB LFA-1 MAC-1 MF17 MFI7,21q22.3,integrin subunit beta 2,"integrin beta-2; cell surface adhesion glycoprotein (LFA-1/CR3/P150,959 beta subunit precursor); complement component 3 receptor 3 and 4 subunit; complement receptor C3 beta-subunit; integrin beta chain, beta 2; integrin, beta 2 (complement component 3 receptor 3 and 4 subunit); leukocyte cell adhesion molecule CD18; leukocyte-associated antigens CD18/11A, CD18/11B, CD18/11C"
CD19,CD19,930,B4 CVID3,16p11.2,CD19 molecule,B-lymphocyte antigen CD19; B-lymphocyte surface antigen B4; T-cell surface antigen Leu-12; differentiation antigen CD19
CD20,MS4A1,931,B1 Bp35 CD20 CVID5 LEU-16 MS4A2 S7,11q12.2,membrane spanning 4-domains A1,"B-lymphocyte antigen CD20; B-lymphocyte cell-surface antigen B1; CD20 antigen; CD20 receptor; leukocyte surface antigen Leu-16; membrane-spanning 4-domains, subfamily A, member 1"
CD21,CR2,1380,C3DR CD21 CR CVID7 SLEB9,1q32.2,complement C3d receptor 2,complement receptor type 2; EBV receptor; complement component (3d/Epstein Barr virus) receptor 2; complement component 3d receptor 2
CD22,CD22,933,SIGLEC-2 SIGLEC2,19q13.12,CD22 molecule,B-cell receptor CD22; B-lymphocyte cell adhesion molecule; BL-CAM; CD22 antigen; T-cell surface antigen Leu-14; sialic acid-binding Ig-like lectin 2
CD23,FCER2,2208,BLAST-2 CD23 CD23A CLEC4J FCE2 IGEBF,19p13.2,Fc fragment of IgE receptor II,"low affinity immunoglobulin epsilon Fc receptor; C-type lectin domain family 4, member J; CD23 antigen; Fc epsilon receptor II; Fc fragment of IgE, low affinity II, receptor for (CD23); fc-epsilon-RII; immunoglobulin E-binding factor; immunoglobulin epsilon-chain; lymphocyte IgE receptor"
CD24,CD24,100133941,CD24A,6q21,CD24 molecule,signal transducer CD24; CD24 antigen (small cell lung carcinoma cluster 4 antigen)
CD25,IL2RA,3559,CD25 IDDM10 IL2R IMD41 TCGFR p55,10p15.1,interleukin 2 receptor subunit alpha,"interleukin-2 receptor subunit alpha; IL-2 receptor subunit alpha; IL-2R subunit alpha; TAC antigen; interleukin 2 receptor, alpha"
CD26,DPP4,1803,ADABP ADCP2 CD26 DPPIV TP103,2q24.2,dipeptidyl peptidase 4,"dipeptidyl peptidase 4; ADCP-2; DPP IV; T-cell activation antigen CD26; adenosine deaminase complexing protein 2; dipeptidyl peptidase IV; dipeptidylpeptidase 4; dipeptidylpeptidase IV (CD26, adenosine deaminase complexing protein 2)"
CD27,CD27,939,S152 S152. LPFS2 T14 TNFRSF7 Tp55,12p13.31,CD27 molecule,"CD27 antigen; CD27L receptor; T cell activation antigen S152; T-cell activation antigen CD27; tumor necrosis factor receptor superfamily, member 7"
CD28,CD28,940,Tp44,2q33.2,CD28 molecule,T-cell-specific surface glycoprotein CD28; CD28 antigen
CD29,ITGB1,3688,CD29 FNRB GPIIA MDF2 MSK12 VLA-BETA VLAB,10p11.22,integrin subunit beta 1,"integrin beta-1; glycoprotein IIa; integrin VLA-4 beta subunit; integrin beta 1; integrin, beta 1 (fibronectin receptor, beta polypeptide, antigen CD29 includes MDF2, MSK12); very late activation protein, beta polypeptide"
CD30,TNFRSF8,943,CD30 D1S166E Ki-1,1p36.22,TNF receptor superfamily member 8,tumor necrosis factor receptor superfamily member 8; CD30L receptor; Ki-1 antigen; cytokine receptor CD30; lymphocyte activation antigen CD30
CD31,PECAM1,5175,CD31 CD31/EndoCAM GPIIA' PECA1 PECAM-1 endoCAM,17q23.3,platelet and endothelial cell adhesion molecule 1,platelet endothelial cell adhesion molecule; CD31 antigen; platelet endothelial cell adhesion molecule-1
CD33,CD33,945,SIGLEC-3 SIGLEC3 p67,19q13.41,CD33 molecule,myeloid cell surface antigen CD33; CD33 antigen (gp67); CD33 molecule transcript; gp67; sialic acid-binding Ig-like lectin 3
CD34,CD34,947,"-",1q32.2,CD34 molecule,hematopoietic progenitor cell antigen CD34; CD34 antigen
CD35,CR1,1378,C3BR C4BR CD35 KN,1q32.2,complement C3b/C4b receptor 1 (Knops blood group),complement receptor type 1; C3-binding protein; C3b/C4b receptor; CD35 antigen; Knops blood group antigen; complement component (3b/4b) receptor 1 (Knops blood group)
CD36,CD36,948,BDPLT10 CHDS7 FAT GP3B GP4 GPIV PASIV SCARB3,7q21.11,CD36 molecule,"platelet glycoprotein 4; CD36 antigen (collagen type I receptor, thrombospondin receptor); CD36 molecule (thrombospondin receptor); GPIIIB; PAS IV; PAS-4 protein; cluster determinant 36; fatty acid translocase; glycoprotein IIIb; leukocyte differentiation antigen CD36; platelet glycoprotein IV; scavenger receptor class B, member 3"
CD37,CD37,951,GP52-40 TSPAN26,19q13.33,CD37 molecule,leukocyte antigen CD37; cell differentiation antigen 37; leukocyte surface antigen CD37; tetraspanin-26; tspan-26
CD38,CD38,952,ADPRC 1 ADPRC1,4p15.32,CD38 molecule,ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 1; 2'-phospho-ADP-ribosyl cyclase; 2'-phospho-cyclic-ADP-ribose transferase; ADP-ribosyl cyclase 1; CD38 antigen (p45); NAD(+) nucleosidase; cluster of differentiation 38; cyclic ADP-ribose hydrolase 1; ecto-nicotinamide adenine dinucleotide glycohydrolase
CD39,ENTPD1,953,ATPDase CD39 NTPDase-1 SPG64,10q24.1,ectonucleoside triphosphate diphosphohydrolase 1,ectonucleoside triphosphate diphosphohydrolase 1; CD39 antigen; ecto-ATP diphosphohydrolase 1; ecto-ATPDase 1; ecto-ATPase 1; ecto-apyrase; lymphoid cell activation antigen
CD40,CD40,958,Bp50 CDW40 TNFRSF5 p50,20q13.12,CD40 molecule,"tumor necrosis factor receptor superfamily member 5; B cell surface antigen CD40; B cell-associated molecule; CD40 molecule, TNF receptor superfamily member 5; CD40L receptor"
CD41,ITGA2B,3674,BDPLT16 BDPLT2 CD41 CD41B GP2B GPIIb GT GTA HPA3 PPP1R93,17q21.31,integrin subunit alpha 2b,"integrin alpha-IIb; GPalpha IIb; alphaIIb protein; integrin, alpha 2b (platelet glycoprotein IIb of IIb/IIIa complex, antigen CD41); platelet fibrinogen receptor, alpha subunit; platelet glycoprotein IIb of IIb/IIIa complex; platelet membrane glycoprotein IIb; platelet-specific antigen BAK; protein phosphatase 1, regulatory subunit 93"
CD42a,GP9,2815,CD42a GPIX,3q21.3,glycoprotein IX platelet,platelet glycoprotein IX; glycoprotein 9
CD42b,GP1BA,2811,BDPLT1 BDPLT3 BSS CD42B CD42b-alpha DBPLT3 GP1B GPIbA GPIbalpha VWDP,17p13.2,glycoprotein Ib platelet alpha subunit,"platelet glycoprotein Ib alpha chain; GP-Ib alpha; antigen CD42b-alpha; glycoprotein Ib (platelet), alpha polypeptide; mutant platelet membrane glycoprotein Ib-alpha; platelet membrane glycoprotein 1b-alpha subunit; platelet membrane glycoprotein Ib-alpha"
CD42c,GP1BB,2812,BDPLT1 BS CD42C GPIBB GPIbbeta,22q11.21,glycoprotein Ib platelet beta subunit,"platelet glycoprotein Ib beta chain; GP-Ib beta; antigen CD42b-beta; glycoprotein Ib (platelet), beta polypeptide; nuclear localization signal deleted in velocardiofacial syndrome; platelet membrane glycoprotein Ib beta; truncated platelet membrane glycoprotein Ib beta"
